10,10,1,0,0,10000
20,20,2,6283,139,3578
30,30,3,4331,1165,4504
40,40,4,6995,614,2391
50,50,5,5379,1539,3082
60,60,6,7196,1052,1752
70,70,7,5884,1797,2319
80,80,8,7314,1376,1310
90,90,9,6128,2091,1781
100,100,10,7418,1534,1048
110,110,11,6336,2228,1436
125,125,12,7358,1809,833
150,150,15,6548,2554,898
175,175,17,6566,2707,727
200,200,20,7147,2478,375
225,225,22,7057,2615,328
300,300,30,6802,3061,137
400,400,40,6623,3319,58
500,500,50,6391,3583,26
600,600,60,6323,3671,6
700,700,70,6132,3863,5
800,800,80,6071,3928,1
900,900,90,5926,4073,1
1000,1000,100,5918,4082,0
