100,100,1,0,0,10000
100,100,3,86,528,9386
100,100,5,342,1106,8552
100,100,7,675,1629,7696
100,100,9,1064,2143,6793
100,100,11,1490,2673,5837
100,100,13,1953,3030,5017
100,100,15,2237,3398,4365
100,100,17,2534,3803,3663
100,100,19,2831,4104,3065
100,100,21,3110,4264,2626
100,100,23,3286,4545,2169
100,100,25,3587,4710,1703
100,100,27,3716,4762,1522
100,100,30,3931,4929,1140
100,100,33,4086,5154,760
100,100,36,4156,5286,558
100,100,40,4308,5322,370
100,100,45,4450,5330,220
100,100,50,4429,5455,116
100,100,55,4438,5502,60
100,100,60,4505,5461,34
100,100,65,4539,5440,21
100,100,70,4472,5518,10
100,100,75,4405,5590,5
100,100,80,4295,5702,3
100,100,85,4189,5808,3
100,100,90,4133,5867,0
100,100,95,3872,6118,10
