10,10,1,0,0,10000
20,20,2,0,659,9341
30,30,3,146,1103,8751
40,40,4,298,1320,8382
50,50,5,488,1649,7863
60,60,6,711,1782,7507
70,70,7,815,1878,7307
80,80,8,995,2155,6850
90,90,9,1131,2228,6641
100,100,10,1237,2456,6307
110,110,11,1419,2557,6024
125,125,12,1589,2606,5805
150,150,15,1904,2931,5165
175,175,17,2067,3131,4802
200,200,20,2349,3300,4351
225,225,22,2534,3416,4050
300,300,30,3145,3898,2957
400,400,40,3713,4200,2087
500,500,50,3958,4542,1500
600,600,60,4273,4713,1014
700,700,70,4502,4736,762
800,800,80,4647,4873,480
900,900,90,4663,4990,347
1000,1000,100,4744,5000,256
