10,10,1,0,0,10000
20,20,2,6283,139,3578
30,30,3,8575,186,1239
40,40,4,9443,125,432
50,50,5,8534,619,847
60,60,6,8803,601,596
70,70,7,9217,454,329
80,80,8,9537,317,146
90,90,9,9041,670,289
100,100,10,8978,767,255
110,110,11,9225,616,159
125,125,12,9490,428,82
150,150,15,9144,778,78
175,175,17,8875,1021,104
200,200,20,9211,764,25
225,225,22,8743,1217,40
300,300,30,8626,1364,10
400,400,40,8625,1375,0
500,500,50,8133,1865,2
600,600,60,8197,1803,0
700,700,70,7830,2169,1
800,800,80,7743,2257,0
900,900,90,7505,2495,0
1000,1000,100,7548,2452,0
