10,10,1,0,0,10000
20,20,2,6283,139,3578
30,30,3,8575,186,1239
40,40,4,9443,125,432
50,50,5,9741,102,157
60,60,6,9285,370,345
70,70,7,9228,470,302
80,80,8,9422,385,193
90,90,9,9655,254,91
100,100,10,9796,173,31
110,110,11,9510,397,93
125,125,12,9383,524,93
150,150,15,9712,275,13
175,175,17,9344,619,37
200,200,20,9588,407,5
225,225,22,9235,745,20
300,300,30,9377,620,3
400,400,40,9201,799,0
500,500,50,8946,1054,0
600,600,60,8771,1229,0
700,700,70,8634,1366,0
800,800,80,8477,1523,0
900,900,90,8297,1703,0
1000,1000,100,8193,1807,0
